Freq /Hz, Zr , Zi ; Name: 50_-5000
4.712630E+0;2.563940E+3;6.044950E+1
4.361141E+0;2.476330E+3;9.351050E+1
4.035868E+0;2.450940E+3;-1.599360E+1
3.734856E+0;2.571920E+3;-1.030470E+1
3.456294E+0;2.537200E+3;6.725470E+1
3.198508E+0;2.477720E+3;1.178330E+1
2.959950E+0;2.537440E+3;-2.663020E+1
2.739184E+0;2.458220E+3;1.150080E+1
2.534883E+0;2.520580E+3;1.321370E+1
2.345821E+0;2.469280E+3;4.445810E+0
2.170859E+0;2.501420E+3;2.159170E+1
2.008947E+0;2.482970E+3;-3.344180E+1
1.859111E+0;2.472080E+3;5.110380E+1
1.720450E+0;2.522530E+3;-2.202640E+0
1.592132E+0;2.468090E+3;-3.561540E+1
1.473384E+0;2.457310E+3;2.030540E+1
1.363492E+0;2.503050E+3;1.630050E+1
1.261797E+0;2.486830E+3;4.535170E+0
1.167687E+0;2.480950E+3;-1.578750E+1
1.080595E+0;2.460320E+3;2.426890E+1
1.000000E+0;2.490490E+3;3.651270E+1
Freq /Hz, Zr , Zi ; Name: 50_-4000
5.000000E+6;1.608120E+1;1.698920E+1
4.627078E+6;1.616380E+1;1.363640E+1
4.281971E+6;1.618910E+1;1.021940E+1
3.962602E+6;1.625590E+1;6.896500E+0
3.667054E+6;1.637810E+1;3.657430E+0
3.393549E+6;1.655820E+1;4.569320E-1
3.140444E+6;1.679880E+1;-2.695680E+0
2.906216E+6;1.708650E+1;-5.821970E+0
2.689457E+6;1.742740E+1;-8.969510E+0
2.488866E+6;1.781210E+1;-1.207040E+1
2.303236E+6;1.827070E+1;-1.522580E+1
2.131450E+6;1.876120E+1;-1.841260E+1
1.972477E+6;1.931920E+1;-2.163680E+1
1.825361E+6;1.992980E+1;-2.494270E+1
1.689218E+6;2.060000E+1;-2.831040E+1
1.563229E+6;2.133320E+1;-3.178640E+1
1.446636E+6;2.213760E+1;-3.536610E+1
1.338740E+6;2.298060E+1;-3.906750E+1
1.238891E+6;2.391590E+1;-4.290000E+1
1.146489E+6;2.492580E+1;-4.688770E+1
1.060979E+6;2.598690E+1;-5.105850E+1
9.818463E+5;2.714940E+1;-5.540980E+1
9.086159E+5;2.837970E+1;-5.998180E+1
8.408474E+5;2.970500E+1;-6.477340E+1
7.781333E+5;3.111610E+1;-6.980850E+1
7.200968E+5;3.265020E+1;-7.513170E+1
6.663888E+5;3.429590E+1;-8.074250E+1
6.166866E+5;3.604740E+1;-8.667170E+1
5.706914E+5;3.793370E+1;-9.293920E+1
5.281268E+5;3.995720E+1;-9.960010E+1
4.887368E+5;4.215620E+1;-1.066450E+2
4.522847E+5;4.451230E+1;-1.141180E+2
4.185513E+5;4.706650E+1;-1.220760E+2
3.873339E+5;4.982270E+1;-1.305090E+2
3.584449E+5;5.284670E+1;-1.395680E+2
3.317105E+5;5.610580E+1;-1.490920E+2
3.069701E+5;5.964110E+1;-1.592260E+2
2.840749E+5;6.350650E+1;-1.699880E+2
2.628874E+5;6.770980E+1;-1.814260E+2
2.432801E+5;7.230330E+1;-1.935540E+2
2.251352E+5;7.733190E+1;-2.064350E+2
2.083436E+5;8.283970E+1;-2.201130E+2
1.928044E+5;8.887280E+1;-2.345930E+2
1.784242E+5;9.549430E+1;-2.499400E+2
1.651166E+5;1.027810E+2;-2.661950E+2
1.528015E+5;1.107360E+2;-2.833150E+2
1.414049E+5;1.194960E+2;-3.014500E+2
1.308583E+5;1.291210E+2;-3.205560E+2
1.210983E+5;1.396930E+2;-3.406560E+2
1.120663E+5;1.513100E+2;-3.618100E+2
1.037079E+5;1.640770E+2;-3.840120E+2
9.597288E+4;1.780460E+2;-4.072180E+2
8.881481E+4;1.934050E+2;-4.315070E+2
8.219061E+4;2.101970E+2;-4.568400E+2
7.606048E+4;2.286030E+2;-4.831760E+2
7.038756E+4;2.487310E+2;-5.104580E+2
6.513774E+4;2.707670E+2;-5.387140E+2
6.027949E+4;2.947030E+2;-5.678410E+2
5.578358E+4;3.208330E+2;-5.977130E+2
5.162300E+4;3.492000E+2;-6.283030E+2
4.777273E+4;3.799540E+2;-6.594220E+2
4.420963E+4;4.132590E+2;-6.908780E+2
4.091228E+4;4.491620E+2;-7.226660E+2
3.786087E+4;4.878280E+2;-7.544800E+2
3.503704E+4;5.292670E+2;-7.860290E+2
3.242382E+4;5.736890E+2;-8.172090E+2
3.000551E+4;6.209780E+2;-8.477840E+2
2.776757E+4;6.712460E+2;-8.773700E+2
2.569654E+4;7.244020E+2;-9.056400E+2
2.377998E+4;7.801580E+2;-9.322840E+2
2.200637E+4;8.388240E+2;-9.571620E+2
2.036504E+4;8.999840E+2;-9.798470E+2
1.884612E+4;9.634160E+2;-1.000090E+3
1.744050E+4;1.029090E+3;-1.017610E+3
1.613971E+4;1.096420E+3;-1.032070E+3
1.493594E+4;1.165230E+3;-1.043300E+3
1.382195E+4;1.235170E+3;-1.051370E+3
1.279105E+4;1.305850E+3;-1.055930E+3
1.183704E+4;1.376800E+3;-1.056760E+3
1.095418E+4;1.447610E+3;-1.054220E+3
1.013717E+4;1.518240E+3;-1.048220E+3
9.381096E+3;1.587930E+3;-1.038840E+3
8.681413E+3;1.655630E+3;-1.026030E+3
8.033915E+3;1.722560E+3;-1.010230E+3
7.434711E+3;1.787120E+3;-9.913990E+2
6.880198E+3;1.849870E+3;-9.700710E+2
6.367042E+3;1.909600E+3;-9.461690E+2
5.892161E+3;1.967360E+3;-9.207050E+2
5.452698E+3;2.021480E+3;-8.934780E+2
5.046012E+3;2.073290E+3;-8.642160E+2
4.669658E+3;2.122100E+3;-8.343290E+2
4.321375E+3;2.167910E+3;-8.035810E+2
3.999068E+3;2.211440E+3;-7.716100E+2
3.700800E+3;2.251580E+3;-7.410310E+2
3.424778E+3;2.288610E+3;-7.087860E+2
3.169343E+3;2.323400E+3;-6.768510E+2
2.932960E+3;2.355190E+3;-6.460270E+2
2.714207E+3;2.384790E+3;-6.152270E+2
2.511769E+3;2.412770E+3;-5.853060E+2
2.324431E+3;2.437630E+3;-5.557650E+2
2.151064E+3;2.460160E+3;-5.266530E+2
1.990629E+3;2.481500E+3;-4.986740E+2
1.842159E+3;2.500920E+3;-4.718960E+2
1.704763E+3;2.518480E+3;-4.469310E+2
1.577614E+3;2.534970E+3;-4.218370E+2
1.459949E+3;2.550390E+3;-3.979890E+2
1.351059E+3;2.563270E+3;-3.756710E+2
1.250291E+3;2.576350E+3;-3.544730E+2
1.157039E+3;2.585900E+3;-3.330140E+2
1.070742E+3;2.597430E+3;-3.144110E+2
9.908816E+2;2.607480E+3;-2.959600E+2
9.169773E+2;2.613890E+3;-2.783070E+2
8.485852E+2;2.621920E+3;-2.607210E+2
7.852940E+2;2.629310E+3;-2.442190E+2
7.267233E+2;2.636860E+3;-2.289150E+2
6.725211E+2;2.642100E+3;-2.166580E+2
6.223616E+2;2.648300E+3;-2.036470E+2
5.759431E+2;2.653170E+3;-1.905710E+2
5.329868E+2;2.656510E+3;-1.789940E+2
4.932343E+2;2.661710E+3;-1.675310E+2
4.564467E+2;2.664080E+3;-1.587300E+2
4.224029E+2;2.668690E+3;-1.486640E+2
3.908983E+2;2.673180E+3;-1.382430E+2
3.617434E+2;2.675370E+3;-1.302430E+2
3.347630E+2;2.678850E+3;-1.204870E+2
3.097949E+2;2.679750E+3;-1.133970E+2
2.866891E+2;2.681790E+3;-1.071520E+2
2.653065E+2;2.683170E+3;-1.008230E+2
2.455188E+2;2.685690E+3;-9.636710E+1
2.272069E+2;2.686850E+3;-8.713040E+1
2.102609E+2;2.690050E+3;-8.156140E+1
1.945787E+2;2.690510E+3;-7.918410E+1
1.800662E+2;2.690910E+3;-7.323350E+1
1.666360E+2;2.695600E+3;-6.878450E+1
1.542076E+2;2.696150E+3;-5.967300E+1
1.427061E+2;2.697180E+3;-5.836390E+1
1.320625E+2;2.695470E+3;-5.583220E+1
1.222127E+2;2.698830E+3;-5.437860E+1
1.130975E+2;2.697860E+3;-5.007870E+1
1.046622E+2;2.695440E+3;-4.389940E+1
9.685606E+1;2.702930E+3;-4.034760E+1
8.963211E+1;2.697650E+3;-4.369510E+1
8.294696E+1;2.701780E+3;-3.605110E+1
7.676041E+1;2.698880E+3;-3.658300E+1
7.103528E+1;2.701460E+3;-3.166900E+1
6.573716E+1;2.705480E+3;-3.089800E+1
6.083420E+1;2.698160E+3;-3.557000E+1
5.629692E+1;2.703370E+3;-3.205820E+1
5.209805E+1;2.704830E+3;-2.996020E+1
4.821235E+1;2.709360E+3;-1.779260E+1
4.461646E+1;2.697010E+3;-2.467320E+1
4.128877E+1;2.695870E+3;-1.313450E+1
3.820927E+1;2.705730E+3;-1.312220E+1
3.535946E+1;2.706480E+3;-2.590260E+1
3.272220E+1;2.713300E+3;-7.694140E+0
3.028163E+1;2.700500E+3;-1.942320E+1
2.802310E+1;2.695510E+3;-1.560540E+1
2.593301E+1;2.693820E+3;-1.551620E+0
2.399882E+1;2.708680E+3;-1.986680E+1
2.220888E+1;2.703640E+3;-5.768010E+0
2.055244E+1;2.708890E+3;-2.211810E+1
1.901955E+1;2.698420E+3;-6.063660E+0
1.760099E+1;2.678390E+3;-3.232370E+0
1.628823E+1;2.702510E+3;-1.375460E+1
1.507339E+1;2.703970E+3;-4.230310E+0
1.394915E+1;2.692550E+3;-1.605750E+1
1.290876E+1;2.689500E+3;3.156220E+1
1.194597E+1;2.693040E+3;-2.880320E+0
1.105498E+1;2.714060E+3;-4.136150E+0
1.023046E+1;2.704250E+3;-1.889850E+0
9.467424E+0;2.692340E+3;-6.359220E+0
8.761302E+0;2.723140E+3;-1.816880E+1
8.107846E+0;2.665290E+3;-2.866740E+1
7.503127E+0;2.641770E+3;-3.468960E+1
6.943511E+0;2.694050E+3;-6.060010E+1
6.425634E+0;2.715500E+3;1.889850E+1
5.946382E+0;2.692790E+3;-3.546260E+1
5.502875E+0;2.626940E+3;2.279640E+0
5.092447E+0;2.621890E+3;3.987660E+1
4.712630E+0;2.619870E+3;2.574540E+1
4.361141E+0;2.640140E+3;-5.901520E+1
4.035868E+0;2.730840E+3;-2.345980E+1
3.734856E+0;2.670780E+3;6.633540E+1
3.456294E+0;2.628630E+3;6.977240E+0
3.198508E+0;2.696750E+3;-1.510540E+1
2.959950E+0;2.699860E+3;4.355860E+1
2.739184E+0;2.692520E+3;-2.926740E+1
2.534883E+0;2.714980E+3;1.697800E+1
2.345821E+0;2.684550E+3;-1.128630E+1
2.170859E+0;2.685920E+3;2.887350E+1
2.008947E+0;2.726950E+3;-1.685560E+1
1.859111E+0;2.666410E+3;-1.497700E+1
1.720450E+0;2.679480E+3;2.762450E+1
1.592132E+0;2.739120E+3;-1.662030E+1
1.473384E+0;2.676810E+3;-3.808550E+1
1.363492E+0;2.690940E+3;1.369140E+1
1.261797E+0;2.696770E+3;2.504760E+0
1.167687E+0;2.704210E+3;-1.067200E+1
1.080595E+0;2.704280E+3;-3.769610E+1
1.000000E+0;2.679430E+3;-3.914230E+0
Freq /Hz, Zr , Zi ; Name: 50_-3000
5.000000E+6;1.571290E+1;1.673620E+1
4.627078E+6;1.592790E+1;1.347020E+1
4.281971E+6;1.595600E+1;1.006080E+1
3.962602E+6;1.602560E+1;6.761100E+0
3.667054E+6;1.615230E+1;3.534420E+0
3.393549E+6;1.634230E+1;3.492900E-1
3.140444E+6;1.657780E+1;-2.800180E+0
2.906216E+6;1.686080E+1;-5.923000E+0
2.689457E+6;1.720070E+1;-9.047340E+0
2.488866E+6;1.759720E+1;-1.215630E+1
2.303236E+6;1.803880E+1;-1.529540E+1
2.131450E+6;1.854870E+1;-1.846930E+1
1.972477E+6;1.910230E+1;-2.168810E+1
1.825361E+6;1.971130E+1;-2.498510E+1
1.689218E+6;2.039700E+1;-2.835000E+1
1.563229E+6;2.112410E+1;-3.181380E+1
1.446636E+6;2.190820E+1;-3.539050E+1
1.338740E+6;2.276650E+1;-3.907610E+1
1.238891E+6;2.370450E+1;-4.290820E+1
1.146489E+6;2.469700E+1;-4.689460E+1
1.060979E+6;2.575950E+1;-5.104900E+1
9.818463E+5;2.691100E+1;-5.539590E+1
9.086159E+5;2.813610E+1;-5.995240E+1
8.408474E+5;2.947180E+1;-6.474170E+1
7.781333E+5;3.087650E+1;-6.977180E+1
7.200968E+5;3.239270E+1;-7.508600E+1
6.663888E+5;3.402600E+1;-8.070410E+1
6.166866E+5;3.577460E+1;-8.660970E+1
5.706914E+5;3.764120E+1;-9.288910E+1
5.281268E+5;3.964550E+1;-9.952800E+1
4.887368E+5;4.182070E+1;-1.065770E+2
4.522847E+5;4.415510E+1;-1.140320E+2
4.185513E+5;4.666520E+1;-1.219750E+2
3.873339E+5;4.939420E+1;-1.304160E+2
3.584449E+5;5.237600E+1;-1.394530E+2
3.317105E+5;5.559150E+1;-1.489740E+2
3.069701E+5;5.907350E+1;-1.591010E+2
2.840749E+5;6.287150E+1;-1.698610E+2
2.628874E+5;6.701040E+1;-1.813060E+2
2.432801E+5;7.152220E+1;-1.934430E+2
2.251352E+5;7.645700E+1;-2.063310E+2
2.083436E+5;8.185430E+1;-2.200160E+2
1.928044E+5;8.776320E+1;-2.345260E+2
1.784242E+5;9.425520E+1;-2.499130E+2
1.651166E+5;1.013640E+2;-2.662020E+2
1.528015E+5;1.091520E+2;-2.833870E+2
1.414049E+5;1.176920E+2;-3.015670E+2
1.308583E+5;1.270680E+2;-3.207730E+2
1.210983E+5;1.374030E+2;-3.409990E+2
1.120663E+5;1.487010E+2;-3.622980E+2
1.037079E+5;1.611300E+2;-3.846580E+2
9.597288E+4;1.747260E+2;-4.080740E+2
8.881481E+4;1.896520E+2;-4.326430E+2
8.219061E+4;2.060400E+2;-4.583240E+2
7.606048E+4;2.239610E+2;-4.850420E+2
7.038756E+4;2.435510E+2;-5.128600E+2
6.513774E+4;2.649190E+2;-5.416220E+2
6.027949E+4;2.882420E+2;-5.714260E+2
5.578358E+4;3.136060E+2;-6.020720E+2
5.162300E+4;3.412980E+2;-6.335980E+2
4.777273E+4;3.712410E+2;-6.658650E+2
4.420963E+4;4.037640E+2;-6.986610E+2
4.091228E+4;4.388600E+2;-7.318770E+2
3.786087E+4;4.767060E+2;-7.653870E+2
3.503704E+4;5.174200E+2;-7.989780E+2
3.242382E+4;5.610830E+2;-8.324070E+2
3.000551E+4;6.076400E+2;-8.654470E+2
2.776757E+4;6.572860E+2;-8.977720E+2
2.569654E+4;7.099830E+2;-9.291950E+2
2.377998E+4;7.656960E+2;-9.592890E+2
2.200637E+4;8.243190E+2;-9.879710E+2
2.036504E+4;8.857750E+2;-1.014660E+3
1.884612E+4;9.499460E+2;-1.039360E+3
1.744050E+4;1.016530E+3;-1.061420E+3
1.613971E+4;1.085590E+3;-1.080840E+3
1.493594E+4;1.156450E+3;-1.097150E+3
1.382195E+4;1.228900E+3;-1.110420E+3
1.279105E+4;1.302950E+3;-1.120140E+3
1.183704E+4;1.377420E+3;-1.126170E+3
1.095418E+4;1.452640E+3;-1.128820E+3
1.013717E+4;1.527810E+3;-1.127630E+3
9.381096E+3;1.602830E+3;-1.122910E+3
8.681413E+3;1.676970E+3;-1.114550E+3
8.033915E+3;1.750170E+3;-1.102750E+3
7.434711E+3;1.821830E+3;-1.087300E+3
6.880198E+3;1.891520E+3;-1.069110E+3
6.367042E+3;1.959060E+3;-1.048180E+3
5.892161E+3;2.024440E+3;-1.024920E+3
5.452698E+3;2.086740E+3;-9.990150E+2
5.046012E+3;2.146640E+3;-9.714000E+2
4.669658E+3;2.203270E+3;-9.417940E+2
4.321375E+3;2.257060E+3;-9.106800E+2
3.999068E+3;2.308150E+3;-8.797050E+2
3.700800E+3;2.356020E+3;-8.470520E+2
3.424778E+3;2.400610E+3;-8.133320E+2
